seed,p_visible,n0,method,label,loss_type,tau_pinball,loss,train_loss,mse,huber,logcosh,smooth_pinball,pinball,train_mse,train_huber,train_logcosh,train_smooth_pinball,train_pinball,trained_objective,ridge,num_parameters,status,error,truth_type,noise_type,sigma,split_mode,clean_T,train_samples,test_samples,train_ratio,r_poly,k_union,k_sffa,r_sffa,optimizer
42,0.5,103,sub_lp,Induced-subgraph Laplacian polynomial,smooth_pinball,0.8,21.156694412231445,20.484933853149414,,,,21.156694412231445,,,,,20.484933853149414,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,9,9,3,lbfgs
42,0.5,103,kron_lp,Kron Laplacian polynomial,smooth_pinball,0.8,20.9874210357666,20.305450439453125,,,,20.9874210357666,,,,,20.305450439453125,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,9,9,3,lbfgs
42,0.5,103,union_lp,Union distance-Laplacian polynomial,smooth_pinball,0.8,19.681180953979492,18.724632263183594,,,,19.681180953979492,,,,,18.724632263183594,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,9,9,3,lbfgs
42,0.5,103,dk_lap_poly,Distance-k Laplacian polynomial,smooth_pinball,0.8,18.248796463012695,17.264711380004883,,,,18.248796463012695,,,,,17.264711380004883,,smooth_pinball,0.0,36,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,9,9,3,lbfgs
42,0.5,103,rg_alg,Random-group algebra,smooth_pinball,0.8,14.463296890258789,13.160713195800781,,,,14.463296890258789,,,,,13.160713195800781,,smooth_pinball,0.0,820,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,9,9,3,lbfgs
42,0.5,103,sffa,Distance-based Laplacian SFFA,smooth_pinball,0.8,12.990470886230469,11.416147232055664,,,,12.990470886230469,,,,,11.416147232055664,,smooth_pinball,0.0,820,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,9,9,3,lbfgs
42,0.5,103,num_lmmse,Numerical LMMSE (MSE-trained baseline),smooth_pinball,0.8,14.273056030273438,12.41518783569336,,,,14.273056030273438,,,,,12.41518783569336,,mse_closed_form,0.0,10609,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,9,9,3,lbfgs
43,0.5,103,sub_lp,Induced-subgraph Laplacian polynomial,smooth_pinball,0.8,20.16242218017578,19.643239974975586,,,,20.16242218017578,,,,,19.643239974975586,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,9,9,3,lbfgs
43,0.5,103,kron_lp,Kron Laplacian polynomial,smooth_pinball,0.8,20.036209106445312,19.55026626586914,,,,20.036209106445312,,,,,19.55026626586914,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,9,9,3,lbfgs
43,0.5,103,union_lp,Union distance-Laplacian polynomial,smooth_pinball,0.8,18.99629783630371,18.32033920288086,,,,18.99629783630371,,,,,18.32033920288086,,smooth_pinball,0.0,4,ok,,hadamard,skew_bernoulli,20.0,ratio,34272,23990,10282,0.7,3,9,9,3,lbfgs
