seed,p_visible,n0,input_len,pred_len,method,label,loss_type,loss,train_loss,val_loss,mse,train_mse,val_mse,mae,train_mae,val_mae,num_parameters,status,error,raw_T,missing_timestamps,clean_T,train_ratio,val_ratio,test_ratio,train_end,val_end,test_end,train_block_T,val_block_T,test_block_T,adjacent_pairs_total,gap_pairs_total,drop_gap_windows,train_candidate_windows,train_windows,train_dropped_gap_windows,train_gap_pairs_in_block,train_first_window_start,train_last_window_start,val_candidate_windows,val_windows,val_dropped_gap_windows,val_gap_pairs_in_block,val_first_window_start,val_last_window_start,test_candidate_windows,test_windows,test_dropped_gap_windows,test_gap_pairs_in_block,test_first_window_start,test_last_window_start,loss_h1,val_loss_h1,train_loss_h1,loss_h2,val_loss_h2,train_loss_h2,loss_h3,val_loss_h3,train_loss_h3
42,0.3,62,12,3,ar,Node-wise AR on visible subgraph,mse,69.02215576171875,59.9189338684082,60.98649215698242,69.02215576171875,59.9189338684082,60.98649215698242,,,,2232,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.240535736083984,39.48111343383789,40.43839645385742,70.4393539428711,62.257991790771484,61.80951690673828,92.38656616210938,81.22038269042969,77.50888061523438
42,0.3,62,12,3,sub_lp,Subgraph Laplacian polynomial,mse,68.70944213867188,60.04166793823242,60.716007232666016,68.70944213867188,60.04166793823242,60.716007232666016,,,,144,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.10746383666992,39.37541198730469,40.62827682495117,70.1423110961914,62.004878997802734,61.95612716674805,91.8785400390625,80.76773071289062,77.54061126708984
42,0.3,62,12,3,dk_lp,Distance-k Laplacian polynomial,mse,68.4079818725586,59.39129638671875,60.41059875488281,68.4079818725586,59.39129638671875,60.41059875488281,,,,1080,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.00394058227539,39.249271392822266,40.33888626098633,69.89380645751953,61.733978271484375,61.32429122924805,91.32618713378906,80.24854278564453,76.51068878173828
42,0.3,62,12,3,rg_lp,Random-group Laplacian polynomial,mse,68.68627166748047,60.03972244262695,60.70025634765625,68.68627166748047,60.03972244262695,60.70025634765625,,,,432,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.091773986816406,39.359230041503906,40.622703552246094,70.10302734375,61.98219299316406,61.95254135131836,91.86398315429688,80.75933837890625,77.54393005371094
42,0.3,62,12,3,rg_alg,Random-group algebra,mse,68.28368377685547,59.41080856323242,60.381866455078125,68.28368377685547,59.41080856323242,60.381866455078125,,,,3996,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,43.926475524902344,39.232200622558594,40.30263137817383,69.72593688964844,61.69631576538086,61.32969284057617,91.19862365722656,80.21710205078125,76.60009765625
42,0.3,62,12,3,kron_lp,Kron Laplacian polynomial,mse,68.64681243896484,59.840694427490234,60.64674758911133,68.64681243896484,59.840694427490234,60.64674758911133,,,,144,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.08139419555664,39.341854095458984,40.543251037597656,70.10572814941406,61.95289611816406,61.759925842285156,91.75331115722656,80.64550018310547,77.21891784667969
42,0.3,62,12,3,union_lp,Union Laplacian polynomial,mse,68.7853775024414,59.741798400878906,60.685543060302734,68.7853775024414,59.741798400878906,60.685543060302734,,,,144,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.19606399536133,39.404754638671875,40.53348159790039,70.2671890258789,62.01292037963867,61.67407989501953,91.89288330078125,80.63898468017578,77.01782989501953
42,0.3,62,12,3,sffa,"(k,r)-SFFA",mse,67.94509887695312,59.004371643066406,60.13465118408203,67.94509887695312,59.004371643066406,60.13465118408203,,,,3996,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,43.86448287963867,39.15974044799805,40.19474411010742,69.46501159667969,61.465728759765625,60.95252227783203,90.50579071044922,79.77848815917969,75.86582946777344
42,0.4,82,12,3,ar,Node-wise AR on visible subgraph,mse,69.79276275634766,60.85540771484375,61.23948287963867,69.79276275634766,60.85540771484375,61.23948287963867,,,,2952,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.71698760986328,39.58095932006836,40.807682037353516,71.23652648925781,62.57645034790039,62.799407958984375,93.4247817993164,81.5610580444336,78.95914459228516
42,0.4,82,12,3,sub_lp,Subgraph Laplacian polynomial,mse,69.38501739501953,60.91400909423828,60.96302795410156,69.38501739501953,60.91400909423828,60.96302795410156,,,,144,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.54969787597656,39.48961639404297,40.96207046508789,70.8541259765625,62.3196907043457,62.88625717163086,92.7511978149414,81.07977294921875,78.8936996459961
