p,p1_hidden_original_ratio,n0_first_run,m0_first_run,runs,seeds,method,label,rmse_mean,rmse_std,mse_mean,train_size,test_size,k,r,rmax,optimizer
0.3,0.1,96,32,10,1;2;3;4;5;6;7;8;9;10,subgraph_asymptotic_lmmse,Asymptotic subgraph numerical LMMSE,0.06504740887834048,0.004686656857281009,0.004250933679034118,200,200,9,2,6,lbfgs
0.3,0.1,96,32,10,1;2;3;4;5;6;7;8;9;10,numerical_lmmse,Subgraph numerical LMMSE,0.09295686236132568,0.007133291343522136,0.008686773720914859,200,200,9,2,6,lbfgs
0.3,0.1,96,32,10,1;2;3;4;5;6;7;8;9;10,distance_laplacian_poly,Distance-1..9 Laplacian polynomial (deg≤2),0.10921639258385826,0.01302760530903857,0.012080967059110732,200,200,9,2,6,lbfgs
0.3,0.1,96,32,10,1;2;3;4;5;6;7;8;9;10,random_group_algebra,"Random-group algebra (q=9, r=2)",0.14570694756778008,0.021236952255383582,0.021636421896507517,200,200,9,2,6,lbfgs
0.3,0.1,96,32,10,1;2;3;4;5;6;7;8;9;10,pure_sffa,"Pure distance-based SFFA (k=9, r=2)",0.08862184315115777,0.006215188205043249,0.007888596791490107,200,200,9,2,6,lbfgs
0.3,0.1,96,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r2,Induced Laplacian polynomial LIM (deg≤2),0.17176490222879487,0.021069558785976453,0.0299027153143596,200,200,9,2,6,lbfgs
0.3,0.1,96,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r3,Induced Laplacian polynomial LIM (deg≤3),0.16814808535958298,0.01997590638917075,0.02863291176255562,200,200,9,3,6,lbfgs
0.3,0.1,96,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r4,Induced Laplacian polynomial LIM (deg≤4),0.16819359883189228,0.01997921463704556,0.02864833880378534,200,200,9,4,6,lbfgs
0.3,0.1,96,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r5,Induced Laplacian polynomial LIM (deg≤5),0.16819779610816388,0.0199794212472247,0.02864975816168012,200,200,9,5,6,lbfgs
0.3,0.1,96,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r6,Induced Laplacian polynomial LIM (deg≤6),0.16819806679851157,0.01997944464854576,0.028649850062374433,200,200,9,6,6,lbfgs
0.3,0.1,96,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r2,Kron Laplacian polynomial LIM (deg≤2),0.12451395166137862,0.01657730285789661,0.015751050431370314,200,200,9,2,6,lbfgs
0.3,0.1,96,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r3,Kron Laplacian polynomial LIM (deg≤3),0.11971516828235747,0.015882152933295954,0.014558740020490114,200,200,9,3,6,lbfgs
0.3,0.1,96,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r4,Kron Laplacian polynomial LIM (deg≤4),0.11976883424644577,0.015908915478802597,0.014572357889293123,200,200,9,4,6,lbfgs
0.3,0.1,96,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r5,Kron Laplacian polynomial LIM (deg≤5),0.11977197991356692,0.01591064787500706,0.014573161016638091,200,200,9,5,6,lbfgs
0.3,0.1,96,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r6,Kron Laplacian polynomial LIM (deg≤6),0.1197721421687183,0.015910701830908258,0.01457320142916053,200,200,9,6,6,lbfgs
0.3,0.1,96,32,10,1;2;3;4;5;6;7;8;9;10,union_poly_lim_r2,1..9-union Laplacian polynomial LIM (deg≤2),0.12448133469641909,0.008530534290542992,0.01556109570155583,200,200,9,2,6,lbfgs
0.3,0.1,96,32,10,1;2;3;4;5;6;7;8;9;10,union_poly_lim_r3,1..9-union Laplacian polynomial LIM (deg≤3),0.12328346601700121,0.008374115320551531,0.0152619262198268,200,200,9,3,6,lbfgs
0.3,0.1,96,32,10,1;2;3;4;5;6;7;8;9;10,union_poly_lim_r4,1..9-union Laplacian polynomial LIM (deg≤4),0.12327322182738443,0.008373799203374723,0.015259395681492122,200,200,9,4,6,lbfgs
